timestamp,open,high,low,close,vol,start
2019-03-15 14:55:04.107,13580,13605,13570,13570,75433,2019-03-15 14:51:59.581
2019-03-15 14:55:11.549,13570,13570,13545,13545,74995,2019-03-15 14:55:04.107
2019-03-15 14:57:11.570,13545,13565,13525,13545,75221,2019-03-15 14:55:11.549
2019-03-15 14:58:47.741,13545,13550,13525,13535,74181,2019-03-15 14:57:11.570
2019-03-15 15:00:33.373,13535,13570,13530,13545,75016,2019-03-15 14:58:47.741
2019-03-15 15:01:30.861,13545,13590,13540,13590,74210,2019-03-15 15:00:33.373
2019-03-15 15:05:14.202,13590,13590,13560,13570,74187,2019-03-15 15:01:30.861
2019-03-15 15:07:13.648,13570,13595,13550,13580,73996,2019-03-15 15:05:14.202
2019-03-15 15:08:51.893,13580,13590,13545,13545,79196,2019-03-15 15:07:13.648
2019-03-15 15:10:06.497,13545,13555,13520,13520,74323,2019-03-15 15:08:51.893
2019-03-15 15:11:38.205,13520,13550,13505,13520,75121,2019-03-15 15:10:06.497
2019-03-15 15:12:45.111,13520,13540,13500,13520,76750,2019-03-15 15:11:38.205
2019-03-15 15:15:00.402,13520,13540,13510,13530,75665,2019-03-15 15:12:45.111
2019-03-15 15:17:19.690,13530,13560,13525,13550,76566,2019-03-15 15:15:00.402
2019-03-15 15:19:13.197,13550,13555,13535,13545,73874,2019-03-15 15:17:19.690
2019-03-18 09:00:23.093,13545,13760,13535,13760,136420,2019-03-15 15:19:13.197
2019-03-18 09:00:55.498,13760,13760,13700,13710,73589,2019-03-18 09:00:23.093
2019-03-18 09:01:31.624,13710,13760,13700,13725,74110,2019-03-18 09:00:55.498
2019-03-18 09:02:22.505,13725,13750,13710,13715,73195,2019-03-18 09:01:31.624
2019-03-18 09:02:46.536,13715,13715,13650,13660,74110,2019-03-18 09:02:22.505
2019-03-18 09:03:58.056,13660,13700,13650,13675,75152,2019-03-18 09:02:46.536
2019-03-18 09:05:12.022,13675,13675,13620,13630,73429,2019-03-18 09:03:58.056
2019-03-18 09:05:59.571,13630,13700,13625,13690,73208,2019-03-18 09:05:12.022
